ID,Date,Source,Finding,Relevance,Decision
E-001,2026-03-16,src/Frank.Cli/Program.fs,"CLI uses System.CommandLine 2.0.3 with imperative command registration: Command() + Options + SetAction. No abstraction layer. Root -> subcommands flat structure.",Critical - CLI architecture pattern,D-001
E-002,2026-03-16,src/Frank.Statecharts/StatefulResourceBuilder.fs:59-85,"StateMachineMetadata has: StateHandlerMap (state->methods), InitialStateKey, GuardNames, StateMetadataMap (state->StateInfo), Machine (boxed). Route template NOT included.",Critical - data available for extraction,D-005
E-003,2026-03-16,src/Frank.Statecharts/StatefulResourceBuilder.fs:306-319,"StateMachineMetadata is created in Run() and added to each endpoint via builder.Metadata.Add(metadata). Metadata is on the Endpoint object.",Critical - how to access metadata,D-002 D-003
E-004,2026-03-16,src/Frank/Builder.fs:37-60,"ResourceSpec.Build creates RouteEndpoint array. Each endpoint has RoutePattern (for route template) and Metadata collection. Route template available via RouteEndpoint.RoutePattern.RawText.",High - route template extraction,D-005
E-005,2026-03-16,Grep across src/Frank.Statecharts/,"ALL format modules are internal: Wsd.Generator, Wsd.Serializer, Wsd.Parser, Alps.JsonParser, Alps.JsonGenerator, Alps.Mapper, Scxml.Parser, Scxml.Mapper, Scxml.Generator, Smcat.Parser, Smcat.Mapper, Smcat.Generator, all Types.fs",Critical - visibility barrier,D-006
E-006,2026-03-16,src/Frank.Statecharts/Frank.Statecharts.fsproj:10,"InternalsVisibleTo only includes Frank.Statecharts.Tests. CLI project not included.",Critical - needs change,D-006
E-007,2026-03-16,src/Frank.Statecharts/Validation/Validator.fs:646,"Validator.validate: ValidationRule list -> FormatArtifact list -> ValidationReport. Takes rules + artifacts, returns comprehensive report. Validation types are public (not internal).",High - validation pipeline ready,D-007
E-008,2026-03-16,src/Frank.Statecharts/Wsd/Generator.fs:23,"WSD Generator is the central metadata-to-AST converter: StateMachineMetadata -> Result<StatechartDocument, GeneratorError>. All other AST-based formats go through this.",High - generation pipeline hub,
E-009,2026-03-16,src/Frank.Statecharts/Smcat/Generator.fs:57,"smcat Generator has direct metadata-to-text path: StateMachineMetadata -> string. Does not go through shared AST.",Medium - alternative generation path,
E-010,2026-03-16,Grep for XState in src/,"No XState serializer or deserializer exists. Only XStateMeta annotation stubs in Ast/Types.fs and FormatTag.XState in Validation/Types.fs.",High - new code needed,D-008
E-011,2026-03-16,src/Frank.Cli.Core/Frank.Cli.Core.fsproj,"Frank.Cli.Core does NOT reference Frank.Statecharts. Has dotNetRdf, FSharp.Compiler.Service, Ionide.ProjInfo. Targets net10.0 only.",Critical - new dependency needed,D-009
E-012,2026-03-16,src/Frank/Builder.fs:275,"ResourceEndpointDataSource is type internal -- cannot use from CLI. But Resource.Endpoints (Endpoint[]) is public struct.",Medium - endpoint access path,D-003
E-013,2026-03-16,src/Frank.Cli.Core/Output/JsonOutput.fs,"JSON output uses Utf8JsonWriter with Indented=true. camelCase field names. status field always first. formatError uses anonymous record + JsonSerializer.",High - output convention,
E-014,2026-03-16,src/Frank.Cli.Core/Output/TextOutput.fs,"Text output uses StringBuilder. isColorEnabled() checks NO_COLOR env var and Console.IsOutputRedirected. formatError wraps in red.",High - output convention,
E-015,2026-03-16,src/Frank.Cli.Core/Help/HelpContent.fs,"Help metadata is hardcoded CommandHelp records with Name, Summary, Examples, Workflow, Context fields. allCommands is the source of truth list.",Medium - help integration pattern,
