ID,Date,Source,Finding,Relevance,Decision
E-001,2026-03-15,src/Frank.Statecharts/Wsd/Types.fs,"WSD defines 16 types: SourcePosition, TokenKind, Token, ArrowStyle, Direction, Participant, Message, GuardAnnotation, NotePosition, Note, GroupKind, GroupBranch, Group, DiagramElement, Diagram, ParseFailure/Warning/Result",Critical - baseline for migration,D-001 D-002 D-003
E-002,2026-03-15,src/Frank.Statecharts/Wsd/Parser.fs,"WSD parser produces ParseResult with Diagram root type. Uses mutable ParserState with error recovery and configurable error limits.",Critical - parser migration scope,D-007
E-003,2026-03-15,src/Frank.Statecharts/StatefulResourceBuilder.fs,"StateMachineMetadata is a runtime type with boxed Machine obj, StateHandlerMap, HTTP-oriented closures. Completely separate concern from parse-time AST.",Critical - boundary clarification,D-012
E-004,2026-03-15,W3C SCXML Spec (w3.org/TR/scxml),"SCXML defines: <state>, <parallel>, <transition>, <initial>, <final>, <history>, <onentry>, <onexit>, <datamodel>, <data>, <invoke>, <send>. Most expressive format.",High - drives StateKind superset design,D-004
E-005,2026-03-15,smcat AST Schema (github.com/sverweij/state-machine-cat),"smcat state types: regular, initial, final, parallel, history, deephistory, choice, forkjoin, fork, join, junction, terminate. Transition types: internal, external.",High - drives StateKind superset design,D-004
E-006,2026-03-15,ALPS Spec (alps.io/spec/drafts/draft-01.html),"ALPS descriptors have type annotations: safe, unsafe, idempotent. Descriptors can nest. No initial/final state concept. No workflow ordering.",High - drives partial population design,D-005 D-010
E-007,2026-03-15,XState Documentation (xstate.js.org),"XState defines: states with id/initial/type(final/parallel), transitions via on: handlers, guards via cond, actions arrays, context object, invoke for services.",High - drives annotation design,D-010
E-008,2026-03-15,F# Compiler SyntaxTree (github.com/dotnet/fsharp),"F# compiler uses trivia pattern for non-semantic AST data (range, comments). Separates essential from incidental. Allows independent extension.",Medium - evaluated but not adopted,D-006
E-009,2026-03-15,F# DU documentation (learn.microsoft.com),"F# DUs support structural equality by default. Record types with only value-type/immutable fields also support structural equality automatically.",Medium - confirms design approach,D-005
E-010,2026-03-15,test/Frank.Statecharts.Tests/Wsd/ParserTests.fs,"48 test cases reference WSD-specific types: ParseResult.Diagram, Participant, Message, Note, Group, DiagramElement, ArrowStyle, Direction. All need mechanical migration.",High - migration risk assessment,R-002
E-011,2026-03-15,test/Frank.Statecharts.Tests/Wsd/GroupingTests.fs,"26 test cases for grouping: alt/opt/loop/par/break/critical/ref with nesting up to 5 levels. GroupKind and GroupBranch types used extensively.",High - confirms GroupKind is reusable,D-003
E-012,2026-03-15,test/Frank.Statecharts.Tests/Wsd/RoundTripTests.fs,"Amundsen onboarding and tic-tac-toe WSD examples with full round-trip verification. Tests guard extraction, arrow styles, grouping, participants.",High - acceptance test baseline,D-002
E-013,2026-03-15,src/Frank.Statecharts/Wsd/Lexer.fs,"Lexer produces Token list with SourcePosition on each token. Position tracking is accurate (line/column). Lexer is WSD-specific and stays unchanged.",Medium - confirms D-009,D-009
E-014,2026-03-15,src/Frank.Statecharts/Wsd/GuardParser.fs,"GuardParser uses SourcePosition and ParseFailure/ParseWarning types from WSD.Types. Must switch to shared types.",Medium - migration dependency,D-001
E-015,2026-03-15,Frank.Statecharts.fsproj,"Project targets net8.0;net9.0;net10.0. Compile order: Wsd/Types.fs first. Ast/Types.fs must be inserted before Wsd/Types.fs.",Medium - build configuration,FR-017
