timestamp,source_type,citation,key_finding,confidence,notes
2026-03-06T10:00:00,web,ttt-engine,"Tic-tac-toe state machine uses DU (MoveResult) with 5 states carrying context (GameState + ValidMoves). Pure transition functions (moveX/moveO) are side-effect-free.",high,"Complete source code reviewed. DU pattern maps directly to statechart states."
2026-03-06T10:30:00,web,ttt-web,"Per-user discrimination is handled in Web layer (PlayerAssignmentManager MailboxProcessor), not Engine. Active pattern (CanMove|Watching|Finished) drives per-role HTML rendering.",high,"Clean separation: Engine owns state machine, Web owns user mapping and rendering."
2026-03-06T11:00:00,web,frank-builder,"ResourceBuilder uses convention-based metadata (EndpointBuilder -> unit functions). Extensions add metadata via AddMetadata static method. Pattern: marker metadata + middleware interception.",high,"All existing extensions (LinkedData, Auth, OpenApi, Datastar) follow this exact pattern."
2026-03-06T11:30:00,web,frank-linkeddata,"LinkedData uses LinkedDataMarker metadata + middleware interception. Content negotiation intercepts response, buffers JSON, projects to RDF. Same middleware pattern applicable to statecharts.",high,"Proves the metadata + middleware pattern works for response transformation."
2026-03-06T12:00:00,web,alps-spec,"ALPS FAQ A.2 explicitly states ALPS is not designed to describe workflows or execution paths. Descriptor types: semantic, safe (GET), unsafe (POST), idempotent (PUT/DELETE). ext elements available for custom extensions.",high,"ALPS intentionally omits what WSD provides. Complementary by design."
2026-03-06T12:30:00,web,issue57,"Issue #57 proposes WSD as source-of-truth with ALPS and XState as generated complementary formats. Mapping rules: solid arrow -> unsafe (POST), dashed -> unsafe (POST), deactivate -> safe (GET). Guard extension via WSD note syntax.",medium,"Proposal is well-reasoned but untested. Mapping rules need validation against real examples."
2026-03-06T13:00:00,web,eiger,"Eiger (ALPS CLI) is archived (last update 2023-01-28). Supports ALPS+XML/JSON/YAML read/write and OpenAPI 3.0 read. Java-based. No longer maintained.",medium,"Cannot rely on eiger for production use. frank-cli must implement its own ALPS generation."
2026-03-06T13:30:00,web,alps-asd,"app-state-diagram (ASD) is actively maintained (last update 2026-02-22). TypeScript-based. Generates SVG state diagrams and hyperlinked HTML documentation from ALPS files.",medium,"Useful for validation/visualization but not for code generation. PHP/Docker-based toolchain."
2026-03-06T14:00:00,web,alps-spec,"ALPS is expired IETF draft (draft-07, May 2021, never became RFC). No native guards/preconditions. Cannot distinguish PUT from DELETE (both idempotent). rt is single-valued -- cannot express conditional return states. No initial state concept.",high,"Confirmed via spec text and FAQ. Guards only possible via ext extension elements."
2026-03-06T14:30:00,web,scxml-spec,"SCXML is W3C Recommendation (Sept 2015). Full statechart support: parallel, history, data model, invoke. Guards via cond attribute (ECMAScript/XPath expressions). No HTTP semantics. No quality .NET/F# libraries exist.",high,"Statecharts.NET and stateless-scxml both appear unmaintained. System.Xml.Linq can parse but no code generator."
2026-03-06T15:00:00,web,xstate-docs,"XState v5 (5.28.0): SCXML import/export removed in v5. Actor-centric architecture. Formal JSON schema exists (machine.schema.json, JSON Schema draft-07). Guard combinators: and/or/not. setup() pattern enables JSON-serializable configs.",high,"JSON schema describes internal/compiled form, not user-facing shorthand. Schema is an implementation artifact, not a formal interop standard."
2026-03-06T15:30:00,web,smcat-repo,"smcat v14.0.6: actively maintained. Peggy-based parser with formal AST JSON schema. Supports guards ([condition]), hierarchical states, parallel states. Output: SVG, dot, json, ast, scxml, smcat. JavaScript-only (Node.js). Can read/write SCXML (core constructs only).",high,"Excellent notation for human authoring. AST JSON schema enables programmatic use. No .NET equivalent -- requires CLI interop or custom parser."
2026-03-06T16:00:00,web,fsadvent2018,"Blog post defines Transition<'State,'Message> record and Agent<'State,'Message> type with Get (returns current state + allowed transitions) and Post (validates message against current state). Uses MailboxProcessor internally. Agent.Get returns filtered affordances -- only valid next transitions.",high,"Direct prior art for Frank.Statecharts. The Agent.Get pattern (state + allowed transitions) maps exactly to the filtered affordances concept. Key difference: no guards, no HTTP integration, string-typed states/messages."
2026-03-06T16:10:00,web,wsd-gen-fsharp,"wsd-gen F# fork is NOT a WSD parser. It is an HTTP client that posts raw WSD text to websequencediagrams.com API and downloads rendered images. No local parsing, no AST, no data model. Targets netstandard2.0/netcoreapp2.1. Only dependency: Newtonsoft.Json for API response.",high,"Critical finding: there is no existing F# WSD parser to build on. A parser must be written from scratch for #57. This does not affect the core runtime library (#87) but significantly impacts #57 effort estimates."
2026-03-06T16:20:00,web,xstate-docs,"XState v5 guards: inline functions or named (string-referenced via setup()). Guard combinators: and([]), or([]), not(). Guards receive {context, event} + optional typed params. Multiple guarded transitions evaluated in order -- first match wins. setup() pattern separates logic from config, enabling JSON-serializable machines.",high,"Guard evaluation order matches Frank.Statecharts design (DD-03: registration order, first blocked short-circuits). XState's named guards via setup() parallel our Guard.Name pattern. Combinators (and/or/not) are a potential future enhancement."
